split	value
Sp017	100
Sp019	100
Sp018	100
Sp010	100
Sp006	100
Sp000	100
Sp001	100
Sp008	100
Sp005	100
Sp007	100
Sp003	100
Sp004	100
Sp002	100
Sp009	100
Sp013	100
Sp012	100
Sp011	100
Sp015	100
Sp014	100
Sp016	100
Sp018Sp019	0.98
Sp000Sp001	1.0
Sp000Sp001Sp006	0.03
Sp000Sp001Sp006Sp010	0.045
Sp003Sp007	0.01
Sp002Sp004	0.865
Sp002Sp003Sp004Sp007	0.02
Sp002Sp003Sp004Sp005Sp007	0.135
Sp002Sp003Sp004Sp005Sp007Sp008	0.175
Sp009Sp011Sp012Sp013Sp014Sp015Sp016Sp017Sp018Sp019	0.48
Sp011Sp012Sp013Sp014Sp015Sp016Sp017Sp018Sp019	0.995
Sp011Sp012	1.0
Sp011Sp012Sp013	0.41
Sp014Sp015Sp016Sp017Sp018Sp019	0.83
Sp014Sp015Sp016Sp017	0.98
Sp014Sp015Sp016	0.875
Sp014Sp015	0.76
Sp015Sp016	0.24
Sp013Sp014Sp015Sp016Sp017Sp018Sp019	0.495
Sp000Sp001Sp010	0.355
Sp003Sp005	0.745
Sp002Sp003Sp004Sp005	0.785
Sp007Sp008	0.005
Sp006Sp007	0.795
Sp002Sp003Sp004Sp005Sp006Sp007	0.475
Sp002Sp003Sp004Sp005Sp006Sp007Sp008	0.95
Sp000Sp001Sp002Sp003Sp004Sp005Sp006Sp007Sp008	0.49
Sp009Sp010	0.445
Sp006Sp007Sp008	0.245
Sp002Sp003Sp004Sp005Sp006Sp007Sp008Sp009	0.05
Sp003Sp004Sp005	0.135
Sp002Sp003Sp004Sp005Sp006Sp007Sp008Sp009Sp010	0.115
Sp014Sp017	0.1
Sp002Sp003Sp004Sp005Sp008	0.13
Sp002Sp004Sp005	0.05
Sp003Sp004	0.015
Sp003Sp004Sp005Sp006Sp007	0.02
Sp003Sp005Sp008	0.055
Sp005Sp008	0.03
Sp004Sp005	0.085
Sp011Sp012Sp013Sp018Sp019	0.12
Sp003Sp004Sp005Sp007	0.01
Sp002Sp008	0.005
Sp011Sp012Sp018Sp019	0.09
Sp011Sp012Sp019	0.005
Sp003Sp008	0.02
Sp003Sp005Sp006Sp007Sp008	0.005
Sp002Sp004Sp007	0.08
Sp014Sp015Sp016Sp017Sp019	0.005
Sp016Sp017	0.015
Sp002Sp003Sp004	0.04
Sp013Sp014Sp015Sp016Sp017	0.02
Sp013Sp018Sp019	0.02
Sp011Sp012Sp013Sp014Sp015Sp016Sp018Sp019	0.015
Sp011Sp012Sp014Sp015Sp016Sp017Sp018Sp019	0.015
Sp014Sp015Sp016Sp018Sp019	0.005
Sp015Sp016Sp018Sp019	0.005
Sp003Sp006Sp007Sp008	0.005
Sp011Sp012Sp018	0.01
Sp000Sp001Sp009Sp010	0.035
Sp002Sp004Sp006Sp007	0.025
Sp002Sp004Sp005Sp006Sp007	0.005
Sp002Sp003Sp004Sp006Sp007	0.01
Sp000Sp001Sp011Sp012	0.005
Sp002Sp006Sp007	0.005
Sp003Sp006Sp007	0.005
Sp002Sp007	0.005
Sp002Sp003Sp004Sp005Sp006Sp007Sp008Sp010	0.005
Sp002Sp006Sp007Sp008	0.005
Sp014Sp015Sp017	0.005
