split	value
Sp008	0.505
Sp003	100
Sp014	100
Sp004	100
Sp007	100
Sp009	100
Sp002	100
Sp013	100
Sp012	100
Sp011	100
Sp010	100
Sp001	100
Sp006	100
Sp005	100
Sp000	100
Sp004Sp014	1.0
Sp002Sp009	1.0
Sp012Sp013	1.0
Sp010Sp011	1.0
Sp010Sp011Sp012Sp013	0.935
Sp005Sp006	1.0
Sp000Sp005Sp006	0.96
Sp000Sp001Sp005Sp006	1.0
Sp002Sp003Sp004Sp007Sp008Sp009Sp014	0.285
Sp003Sp004Sp007Sp008Sp014	1.0
Sp003Sp004Sp008Sp014	0.78
Sp003Sp008	0.425
Sp002Sp009Sp010Sp011Sp012Sp013	0.685
Sp004Sp008Sp014	0.245
Sp004Sp007Sp014	0.22
Sp003Sp004Sp007Sp014	0.145
Sp001Sp005Sp006	0.04
Sp000Sp001Sp005Sp006Sp012Sp013	0.015
Sp002Sp009Sp012Sp013	0.05
Sp003Sp004Sp007Sp008Sp010Sp011Sp014	0.025
Sp004Sp007Sp008Sp014	0.055
Sp003Sp004Sp014	0.13
Sp000Sp001Sp002Sp005Sp006Sp009	0.005
