split	value
Sp014	100
Sp013	100
Sp010	100
Sp009	100
Sp012	100
Sp011	100
Sp000	100
Sp008	100
Sp002	100
Sp001	100
Sp003	100
Sp004	100
Sp005	100
Sp006	100
Sp007	100
Sp013Sp014	1.0
Sp009Sp010	1.0
Sp009Sp010Sp013Sp014	0.05
Sp011Sp012	1.0
Sp000Sp011Sp012	0.2
Sp000Sp009Sp010Sp011Sp012Sp013Sp014	0.005
Sp001Sp002	0.995
Sp001Sp002Sp008	0.015
Sp003Sp004Sp005Sp006Sp007	1.0
Sp004Sp005Sp006Sp007	0.695
Sp005Sp006Sp007	0.955
Sp006Sp007	0.86
Sp008Sp009Sp010	0.67
Sp000Sp008Sp009Sp010	0.25
Sp001Sp002Sp011Sp012	0.655
Sp003Sp004Sp005Sp006Sp007Sp013Sp014	0.25
Sp003Sp004	0.265
Sp001Sp002Sp011Sp012Sp013Sp014	0.225
Sp000Sp013Sp014	0.16
Sp000Sp008Sp009Sp010Sp013Sp014	0.1
Sp000Sp001Sp002Sp011Sp012	0.135
Sp000Sp001Sp002Sp011Sp012Sp013Sp014	0.285
Sp003Sp004Sp005Sp006Sp007Sp008	0.09
Sp001Sp002Sp008Sp009Sp010	0.05
Sp003Sp004Sp005	0.045
Sp000Sp009Sp010	0.04
Sp005Sp006	0.14
Sp000Sp008Sp009Sp010Sp011Sp012	0.055
Sp001Sp002Sp008Sp009Sp010Sp011Sp012	0.04
Sp001Sp002Sp009Sp010	0.05
Sp000Sp001Sp002Sp009Sp010Sp011Sp012	0.045
Sp000Sp003Sp004Sp005Sp006Sp007	0.065
Sp001Sp002Sp013Sp014	0.065
Sp000Sp008	0.1
Sp001Sp002Sp009Sp010Sp011Sp012	0.07
Sp000Sp011Sp012Sp013Sp014	0.045
Sp003Sp005Sp006Sp007	0.04
Sp011Sp012Sp013Sp014	0.025
Sp003Sp004Sp005Sp006Sp007Sp009Sp010	0.08
Sp000Sp001Sp002Sp008Sp011Sp012	0.045
Sp001Sp002Sp008Sp011Sp012	0.015
Sp000Sp008Sp013Sp014	0.01
Sp000Sp003Sp004Sp005Sp006Sp007Sp008	0.02
Sp000Sp009Sp010Sp013Sp014	0.005
Sp001Sp002Sp003Sp004Sp005Sp006Sp007	0.035
Sp000Sp001Sp002Sp008Sp009Sp010	0.01
Sp001Sp011Sp012	0.005
Sp003Sp004Sp005Sp006Sp007Sp011Sp012	0.005
Sp001Sp002Sp008Sp011Sp012Sp013Sp014	0.005
Sp001Sp002Sp008Sp009Sp010Sp013Sp014	0.01
Sp008Sp009Sp010Sp013Sp014	0.01
Sp000Sp001Sp002	0.01
