split	value
Sp006	100
Sp015	100
Sp002	100
Sp018	100
Sp005	100
Sp001	100
Sp014	100
Sp012	100
Sp013	100
Sp011	100
Sp010	100
Sp017	100
Sp008	100
Sp003	100
Sp004	100
Sp016	100
Sp019	100
Sp009	100
Sp007	100
Sp000	100
Sp001Sp005	1.0
Sp001Sp005Sp018	0.215
Sp001Sp002Sp005Sp018	1.0
Sp001Sp002Sp005Sp015Sp018	100
Sp001Sp002Sp005Sp006Sp015Sp018	1.0
Sp012Sp014	1.0
Sp011Sp013	1.0
Sp011Sp012Sp013Sp014	1.0
Sp008Sp017	1.0
Sp008Sp010Sp017	0.975
Sp008Sp010Sp011Sp012Sp013Sp014Sp017	0.665
Sp003Sp008Sp010Sp011Sp012Sp013Sp014Sp017	0.925
Sp009Sp019	1.0
Sp000Sp007	1.0
Sp000Sp007Sp009Sp019	0.755
Sp000Sp007Sp009Sp016Sp019	0.995
Sp000Sp004Sp007Sp009Sp016Sp019	0.83
Sp001Sp002Sp005	0.61
Sp003Sp008Sp010Sp017	0.33
Sp001Sp002Sp005Sp006Sp018	100
Sp002Sp018	0.175
Sp010Sp011Sp012Sp013Sp014	0.01
Sp000Sp007Sp016	0.06
Sp009Sp016Sp019	0.185
Sp001Sp002Sp004Sp005Sp006Sp015Sp018	0.115
Sp008Sp011Sp012Sp013Sp014Sp017	0.005
Sp003Sp004Sp008Sp010Sp011Sp012Sp013Sp014Sp017	0.005
Sp000Sp003Sp007Sp008Sp009Sp010Sp016Sp017Sp019	0.01
Sp003Sp010	0.01
Sp001Sp002Sp003Sp004Sp005Sp006Sp015Sp018	0.05
Sp001Sp002Sp003Sp005Sp006Sp015Sp018	0.055
Sp004Sp008Sp010Sp011Sp012Sp013Sp014Sp017	0.005
Sp001Sp002Sp005Sp006Sp011Sp012Sp013Sp014Sp015Sp018	0.005
Sp000Sp007Sp008Sp009Sp010Sp017Sp019	0.005
Sp000Sp007Sp008Sp009Sp010Sp016Sp017Sp019	0.005
