split	value
Sp008	100
Sp009	100
Sp000	100
Sp007	100
Sp006	100
Sp005	100
Sp003	100
Sp004	100
Sp002	100
Sp001	100
Sp011	100
Sp010	100
Sp000Sp009	0.8
Sp000Sp008Sp009	0.69
Sp005Sp006	0.87
Sp005Sp006Sp007	1.0
Sp001Sp002	0.41
Sp001Sp002Sp004	0.96
Sp001Sp002Sp003Sp004	1.0
Sp000Sp008Sp009Sp010Sp011	0.795
Sp010Sp011	1.0
Sp005Sp006Sp007Sp008	0.06
Sp001Sp002Sp003Sp004Sp010Sp011	0.09
Sp005Sp007	0.09
Sp002Sp004	0.57
Sp002Sp003Sp004	0.015
Sp003Sp004	0.025
Sp005Sp006Sp007Sp010Sp011	0.05
Sp000Sp008	0.105
Sp001Sp002Sp003Sp004Sp009	0.045
Sp006Sp007	0.04
Sp000Sp001Sp002Sp003Sp004Sp009	0.04
Sp000Sp009Sp010Sp011	0.065
Sp008Sp010Sp011	0.13
Sp008Sp009	0.045
Sp001Sp002Sp003Sp004Sp008	0.005
Sp000Sp008Sp010Sp011	0.035
Sp000Sp010Sp011	0.025
Sp000Sp005Sp006Sp007Sp008	0.01
Sp000Sp005Sp006Sp007	0.005
Sp001Sp003	0.01
Sp001Sp002Sp003	0.01
Sp000Sp005Sp006Sp007Sp010Sp011	0.005
