tree_id,threads,iqtree_ll,raxml_ll,iqtree_time,raxml_time
0,1,-489.817,-489.816995,0.15692,0.021
1,1,-1294.2548,-1294.254844,0.173104,0.021
2,1,-12443.5277,-12443.547801,0.36925,0.044
3,1,-1315.5581,-1315.558079,0.213229,0.012
4,1,-2311.084,-2311.08403,0.278327,0.01
5,1,-1476.2783,-1476.278302,0.185606,0.009
6,1,-1079.5463,-1079.546318,0.1869,0.019
7,1,-1856.8539,-1856.853879,0.219999,0.014
8,1,-1697.1636,-1697.163604,0.162932,0.012
9,1,-886.2096,-886.209577,0.185645,0.012
10,1,-1768.2949,-1768.294934,0.343457,0.071
11,1,-3513.2865,-3513.286505,0.704465,0.162
12,1,-6255.4361,-6255.436095,0.466662,0.076
13,1,-9139.3077,-9139.307745,0.944075,0.182
14,1,-3622.8446,-3623.20233,0.991344,0.124
15,1,-5708.9225,-5708.922477,0.936953,0.073
16,1,-3108.5753,-3108.575252,0.321287,0.041
17,1,-1558.0865,-1558.087135,0.433984,0.081
18,1,-1323.2159,-1323.004672,0.217425,0.016
19,1,-2728.1612,-2728.161156,0.589693,0.029
20,1,-13764.3593,-13764.359327,2.56957,0.292
21,1,-690.1632,-690.16316,0.499606,0.042
22,1,-1090.2326,-1090.245454,0.520522,0.059
23,1,-2608.6986,-2609.535961,0.911735,0.158
24,1,-1897.8492,-1897.84918,1.11003,0.274
25,1,-2637.3555,-2637.355465,1.13624,0.187
26,1,-5918.9685,-5918.968465,1.91523,0.23
27,1,-1002.8983,-1002.898269,0.493255,0.067
28,1,-1068.8788,-1068.878314,0.52443,0.046
29,1,-4760.0655,-4760.065462,1.79062,0.266
30,1,-2661.6222,-2661.630032,0.923494,0.172
31,1,-2794.3151,-2795.07248,0.954337,0.195
32,1,-2410.3289,-2410.330422,0.83473,0.206
33,1,-3240.8375,-3240.83753,1.87802,0.399
34,1,-1600.334,-1600.463901,1.19312,0.181
35,1,-2703.5519,-2703.551745,1.5814,0.187
36,1,-1746.6119,-1746.611885,1.24048,0.182
37,1,-5739.4122,-5743.577026,1.27736,0.115
38,1,-9490.1589,-9490.157949,3.61339,0.606
39,1,-4584.3472,-4584.346206,2.33706,0.238
